,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement,cylinders,bore,stroke,valves per cylinder,spark plugs,gear shifting pattern,clutch,fuel tank capacity,mileage - arai,mileage - owner reported,top speed,braking system,front brake type,front brake size,rear tyre size,tyre type,radial tyres,rear brake type,rear brake size,wheel type,front wheel size,rear wheel size,front tyre size,front tyre pressure (rider),rear tyre pressure (rider),front tyre pressure (rider & pillion),rear tyre pressure (rider & pillion),kerb weight,overall length,overall width,wheelbase,ground clearance,seat height,overall height,chassis type
131,Benelli TRK 251,Benelli,298977,25.47,21.2,liquid cooled,6 speed manual,chain drive,249,1,72,61.2,4,1 per cylinder,1 down 5 up,wet multiplate,18,nan,nan,148,dual channel abs,disc,280,150/60 - r17,tubeless,yes,disc,240,alloy,17,17,110/70 - r17,32,36,32,36,164,2070,840,1390,170,800,1300,steel trestle in steel tubes
132,Benelli 502C,Benelli,579955,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,69,66.8,4,1 per cylinder,1 down 5 up,wet multiplate,21,nan,nan,175,dual channel abs,disc,280,160/60 - zr17,tubeless,yes,disc,240,alloy,17,17,120/70 - zr17,32,36,33,38,220,2240,950,1600,170,750,1140,arch bar truck
133,Benelli TRK 502X,Benelli,629954,46.85,46,liquid cooled,6 speed manual,chain drive,500,2,69,66.8,4,1 per cylinder,1 down 5 up,wet multiplate,20,25,nan,160,dual channel abs,disc,320,150/70 - r17,tubeless,yes,disc,260,spoke,19,17,110/80 - r19,32,36,32,36,235,2220,915,1505,220,840,1480,trestle steel tubes and plates
134,Benelli TRK 502,Benelli,569881,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,69,66.8,4,1 per cylinder,1 down 5 up,wet multiplate,20,25,nan,150,switchable abs,disc,320,160/60 - zr17,tubeless,yes,disc,260,alloy,17,17,120/70 - zr17,32,36,32,36,235,2200,915,1505,190,800,1450,steel-tube trellis chassis
135,Benelli Leoncino 500,Benelli,554876,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,69,66.8,4,1 per cylinder,1 down 5 up,wet multiplate,12.7,nan,nan,170,switchable abs,disc,320,160/60 - r17,tubeless,yes,disc,260,alloy,17,17,120/70 - r17,32,36,32,36,207,2160,875,1490,160,790,1160,"steel tubes, lattice design"
153,CFMoto 300NK,CFMoto,229000,27.49,25,liquid cooled,6 speed manual,chain drive,292.4,1,78,61.2,4,1 per cylinder,1 down 5 up,wet multiplate,12.5,nan,nan,127,dual channel abs,disc,300,140/60 - r17,tubeless,yes,disc,245,alloy,17,17,110/70 - r17,33,33,33,36,151,1990,780,1360,150,795,1070,steel tubular
154,CFMoto 650NK,CFMoto,429000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,17,nan,nan,180,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,240,alloy,17,17,120/70 - zr17,40,40,40,40,206,2114,757,1415,150,815,1100,tubular frame
155,CFMoto 650GT,CFMoto,559000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,19,nan,nan,195,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,225,alloy,17,17,120/70 - zr17,32,34,34,36,226,2100,930,1415,150,795,1340,tubular steel diamond frame
156,CFMoto 650MT,CFMoto,529000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,18,nan,nan,170,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,225,alloy,17,17,120/70 - zr17,32,34,34,36,218,2180,835,1425,128,840,1332,tubular steel diamond frame
157,Ducati Panigale V4,Ducati,2741000,212.5,123.6,liquid cooled,6 speed manual,chain drive,1103,4,81,53.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,17,13,nan,299,dual channel abs,disc,330,200/60 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,33,30,33,30,198.5,2110,806,1469,122,850,1132,"aluminum alloy ""front frame"" with optimized stiffnesses"
158,Ducati SuperSport,Ducati,1575000,108.62,93,liquid cooled,6 speed manual,chain drive,937,2,94,67.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,16,17.8,nan,299,dual channel abs,disc,320,180/55 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,36,36,36,40,210,2119,745,1478,132,810,1155,tubular steel trellis frame
159,Ducati Monster BS6,Ducati,1249000,109.96,93,liquid cooled,6 speed manual,chain drive,937,2,94,67.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,14,19,nan,200,dual channel abs,disc,320,180/55 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,33.35,36.26,36.26,40.06,188,2083,868,1474,202,820,1236,aluminum alloy front frame
160,Scrambler,Ducati,939000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,88,66,2,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,13.5,19,nan,299,dual channel abs,disc,330,180/55 - r17,tubeless,yes,disc,245,alloy,18,17,110/80 - r18,36,36,36,42,189,2100,855,1445,176,798,1150,tubular steel trellis frame
161,Ducati Streetfighter V4,Ducati,2215000,205.17,123,liquid cooled,6 speed manual,chain drive,1103,4,81,53.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,16,13.15,nan,299,dual channel abs,disc,330,200/60 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,35,36,35,39,201,2112,888,1488,121,845,1003,"aluminum alloy ""front frame"""
162,Ducati Panigale V2,Ducati,2026450,152.8,104,liquid cooled,6 speed manual,chain drive,955,2,100,60.8,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,17,16.6,nan,299,dual channel abs,disc,320,180/60 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,36,36,36,39,200,2090,810,1436,128,840,1130,monocoque aluminium
163,Ducati XDiavel,Ducati,2120000,160,127.4,liquid cooled,6 speed manual,chain drive,1262,2,106,71.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,18,18,nan,299,dual channel abs,disc,320,240/45 - zr17,tubeless,yes,disc,265,alloy,17,17,120/70 - zr17,36,36,38,42,247,2310,1010,1615,140,755,1133,tubular steel trellis frame
164,Ducati Streetfighter V2,Ducati,1810000,150.59,101.4,liquid cooled,6 speed manual,chain drive,955,2,100,60.8,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,17,17,nan,270,dual channel abs,disc,320,180/60 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,33,36,36,39,200,2093,890,1465,131,845,1043,monocoque aluminium
165,Ducati Diavel 1260,Ducati,2149000,159.58,129,liquid cooled,6 speed manual,chain drive,1262,2,106,71.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,17,18,nan,299,dual channel abs,disc,320,240/45 - zr17,tubeless,yes,disc,265,alloy,17,17,120/70 - zr17,36,36,38,42,249,2273,938,1600,121,780,1151,tubular steel trellis frame
166,Scrambler,Ducati,1169000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,88,66,2,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,13.5,19,nan,299,dual channel abs,disc,330,180/55 - r17,tubeless,no,disc,245,spoke,18,17,110/80 - r18,36,36,36,42,192,2100,867,1445,176,798,1060,tubular steel trellis frame
167,Ducati Hypermotard 950,Ducati,1560000,112.4,96,liquid cooled,6 speed manual,chain drive,937,2,94,67.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,14.5,19.6,nan,316,dual channel abs,disc,320,180/55 - zr17,tubeless,yes,disc,245,alloy,17,17,120/70 - zr17,33,30,36,42,200,2145,900,1493,215,870,1155,steel tubular trellis with 34 mm main tubes
